"fleet_segment";"Month";"PRODUCTION";"Unit"
"PGP_VL0006";"92";"978";"kg"
"PGP_VL0006";"93";"-20";"kg"
"PGP_VL0006";"94";"-20";"kg"
"PGP_VL0006";"95";"610";"kg"
"PGP_VL0006";"96";"-20";"kg"
"PGP_VL0006";"97";"6236";"kg"
"PGP_VL0006";"98";"3831";"kg"
"PGP_VL0006";"99";"2479";"kg"
"PGP_VL0006";"100";"1448";"kg"
"PGP_VL0006";"101";"1158";"kg"
"PGP_VL0006";"102";"2239";"kg"
"PGP_VL0006";"103";"5631";"kg"
"PGP_VL0006";"104";"2872";"kg"
"PGP_VL0006";"105";"1135";"kg"
"PGP_VL0006";"106";"1541";"kg"
"PGP_VL0006";"107";"1646";"kg"
"PGP_VL0006";"108";"1119";"kg"
"PGP_VL0006";"109";"630";"kg"
"PGP_VL0006";"110";"682";"kg"
"PGP_VL0006";"111";"1292";"kg"
"PGP_VL0006";"112";"1434";"kg"
"PGP_VL0006";"113";"1145";"kg"
"PGP_VL0006";"114";"541";"kg"
"PGP_VL0006";"115";"2874";"kg"
"PGP_VL0006";"116";"3599";"kg"
"PGP_VL0006";"117";"6904";"kg"
"PGP_VL0006";"118";"2758";"kg"
"PGP_VL0006";"119";"993";"kg"
"PGP_VL0006";"120";"3775";"kg"
"PGP_VL0006";"121";"240";"kg"
"PGP_VL0006";"122";"277";"kg"
"PGP_VL0006";"123";"351";"kg"
"PGP_VL0006";"124";"478";"kg"
"PGP_VL0006";"125";"177";"kg"
"PGP_VL0006";"126";"149";"kg"
"PGP_VL0006";"127";"1269";"kg"
"PGP_VL0006";"128";"2496";"kg"
"PGP_VL0006";"129";"3757";"kg"
"PGP_VL0006";"130";"4322";"kg"
"PGP_VL0006";"131";"786";"kg"
"PGP_VL0006";"132";"417";"kg"
"PGP_VL0006";"133";"240";"kg"
"PGP_VL0006";"134";"277";"kg"
"PGP_VL0006";"135";"351";"kg"
"PGP_VL0006";"136";"478";"kg"
"PGP_VL0006";"137";"177";"kg"
"PGP_VL0006";"138";"149";"kg"
"PGP_VL0006";"139";"1269";"kg"
"PGP_VL0006";"140";"2496";"kg"
"PGP_VL0006";"141";"3757";"kg"
"PGP_VL0006";"142";"4322";"kg"
"PGP_VL0006";"143";"786";"kg"
"PGP_VL0006";"144";"417";"kg"
"PGP_VL0006";"145";"240";"kg"
"PGP_VL0006";"146";"277";"kg"
"PGP_VL0006";"147";"351";"kg"
"PGP_VL0006";"148";"478";"kg"
"PGP_VL0006";"149";"177";"kg"
"PGP_VL0006";"150";"149";"kg"
"PGP_VL0006";"151";"1269";"kg"
"PGP_VL0006";"152";"2496";"kg"
"PGP_VL0006";"153";"3757";"kg"
"PGP_VL0006";"154";"4322";"kg"
"PGP_VL0006";"155";"786";"kg"
"PGP_VL0006";"156";"417";"kg"
"PGP_VL0612";"0";"4016";"kg"
"PGP_VL0612";"1";"4016";"kg"
"PGP_VL0612";"2";"1523";"kg"
"PGP_VL0612";"3";"706";"kg"
"PGP_VL0612";"4";"-20";"kg"
"PGP_VL0612";"5";"10301";"kg"
"PGP_VL0612";"6";"15439";"kg"
"PGP_VL0612";"7";"854";"kg"
"PGP_VL0612";"8";"-20";"kg"
"PGP_VL0612";"9";"1742";"kg"
"PGP_VL0612";"10";"1255";"kg"
"PGP_VL0612";"11";"2598";"kg"
"PGP_VL0612";"12";"648";"kg"
"PGP_VL0612";"13";"660";"kg"
"PGP_VL0612";"14";"351";"kg"
"PGP_VL0612";"15";"1673";"kg"
"PGP_VL0612";"16";"4394";"kg"
"PGP_VL0612";"17";"24090";"kg"
"PGP_VL0612";"18";"19898";"kg"
"PGP_VL0612";"19";"1952";"kg"
"PGP_VL0612";"20";"12153";"kg"
"PGP_VL0612";"21";"31428";"kg"
"PGP_VL0612";"22";"16885";"kg"
"PGP_VL0612";"23";"4214";"kg"
"PGP_VL0612";"24";"1070";"kg"
"PGP_VL0612";"25";"1177";"kg"
"PGP_VL0612";"26";"161";"kg"
"PGP_VL0612";"27";"427";"kg"
"PGP_VL0612";"28";"2001";"kg"
"PGP_VL0612";"29";"15342";"kg"
"PGP_VL0612";"30";"10841";"kg"
"PGP_VL0612";"31";"419";"kg"
"PGP_VL0612";"32";"1032";"kg"
"PGP_VL0612";"33";"14299";"kg"
"PGP_VL0612";"34";"17139";"kg"
"PGP_VL0612";"35";"12452";"kg"
"PGP_VL0612";"36";"2869";"kg"
"PGP_VL0612";"37";"997";"kg"
"PGP_VL0612";"38";"243";"kg"
"PGP_VL0612";"39";"965";"kg"
"PGP_VL0612";"40";"2574";"kg"
"PGP_VL0612";"41";"16210";"kg"
"PGP_VL0612";"42";"4973";"kg"
