"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"DTS_VL1824";"89";"70";"15";"62.78666667"
"DTS_VL1824";"90";"70";"14";"62.78666667"
"DTS_VL1824";"91";"70";"19";"62.78666667"
"DTS_VL1824";"92";"70";"18";"62.78666667"
"DTS_VL1824";"93";"70";"16";"62.78666667"
"DTS_VL1824";"94";"70";"-1";"62.78666667"
"DTS_VL1824";"95";"70";"12";"62.78666667"
"DTS_VL1824";"96";"70";"16";"62.78666667"
"DTS_VL1824";"97";"78";"15";"63.97590361"
"DTS_VL1824";"98";"78";"15";"63.97590361"
"DTS_VL1824";"99";"78";"16";"63.97590361"
"DTS_VL1824";"100";"78";"17";"63.97590361"
"DTS_VL1824";"101";"78";"18";"63.97590361"
"DTS_VL1824";"102";"78";"19";"63.97590361"
"DTS_VL1824";"103";"78";"20";"63.97590361"
"DTS_VL1824";"104";"78";"18";"63.97590361"
"DTS_VL1824";"105";"78";"10";"63.97590361"
"DTS_VL1824";"106";"78";"9";"63.97590361"
"DTS_VL1824";"107";"78";"16";"63.97590361"
"DTS_VL1824";"108";"78";"15";"63.97590361"
"DTS_VL1824";"109";"86";"7";"64.37957484"
"DTS_VL1824";"110";"86";"6";"64.37957484"
"DTS_VL1824";"111";"86";"9";"64.37957484"
"DTS_VL1824";"112";"86";"10";"64.37957484"
"DTS_VL1824";"113";"86";"9";"64.37957484"
"DTS_VL1824";"114";"86";"10";"64.37957484"
"DTS_VL1824";"115";"86";"10";"64.37957484"
"DTS_VL1824";"116";"86";"10";"64.37957484"
"DTS_VL1824";"117";"86";"7";"64.37957484"
"DTS_VL1824";"118";"86";"4";"64.37957484"
"DTS_VL1824";"119";"86";"10";"64.37957484"
"DTS_VL1824";"120";"86";"10";"64.37957484"
"DTS_VL1824";"121";"61";"12";"60.98484848"
"DTS_VL1824";"122";"61";"14";"60.98484848"
"DTS_VL1824";"123";"61";"16";"60.98484848"
"DTS_VL1824";"124";"61";"16";"60.98484848"
"DTS_VL1824";"125";"61";"16";"60.98484848"
"DTS_VL1824";"126";"61";"17";"60.98484848"
"DTS_VL1824";"127";"61";"18";"60.98484848"
"DTS_VL1824";"128";"61";"18";"60.98484848"
"DTS_VL1824";"129";"61";"10";"60.98484848"
"DTS_VL1824";"130";"61";"8";"60.98484848"
"DTS_VL1824";"131";"61";"14";"60.98484848"
"DTS_VL1824";"132";"61";"14";"60.98484848"
"DTS_VL1824";"133";"61";"12";"60.98484848"
"DTS_VL1824";"134";"61";"14";"60.98484848"
"DTS_VL1824";"135";"61";"16";"60.98484848"
"DTS_VL1824";"136";"61";"16";"60.98484848"
"DTS_VL1824";"137";"61";"16";"60.98484848"
"DTS_VL1824";"138";"61";"17";"60.98484848"
"DTS_VL1824";"139";"61";"18";"60.98484848"
"DTS_VL1824";"140";"61";"18";"60.98484848"
"DTS_VL1824";"141";"61";"10";"60.98484848"
"DTS_VL1824";"142";"61";"8";"60.98484848"
"DTS_VL1824";"143";"61";"14";"60.98484848"
"DTS_VL1824";"144";"61";"14";"60.98484848"
"DTS_VL1824";"145";"61";"12";"60.98484848"
"DTS_VL1824";"146";"61";"14";"60.98484848"
"DTS_VL1824";"147";"61";"16";"60.98484848"
"DTS_VL1824";"148";"61";"16";"60.98484848"
"DTS_VL1824";"149";"61";"16";"60.98484848"
"DTS_VL1824";"150";"61";"17";"60.98484848"
"DTS_VL1824";"151";"61";"18";"60.98484848"
"DTS_VL1824";"152";"61";"18";"60.98484848"
"DTS_VL1824";"153";"61";"10";"60.98484848"
"DTS_VL1824";"154";"61";"8";"60.98484848"
"DTS_VL1824";"155";"61";"14";"60.98484848"
"DTS_VL1824";"156";"61";"14";"60.98484848"
"PGP_VL0006";"0";"615";"4";"3.008064516"
"PGP_VL0006";"1";"615";"4";"3.008064516"
"PGP_VL0006";"2";"615";"7";"3.008064516"
"PGP_VL0006";"3";"615";"6";"3.008064516"
"PGP_VL0006";"4";"615";"7";"3.008064516"
"PGP_VL0006";"5";"615";"9";"3.008064516"
"PGP_VL0006";"6";"615";"12";"3.008064516"
"PGP_VL0006";"7";"615";"17";"3.008064516"
"PGP_VL0006";"8";"615";"13";"3.008064516"
"PGP_VL0006";"9";"615";"14";"3.008064516"
"PGP_VL0006";"10";"615";"10";"3.008064516"
"PGP_VL0006";"11";"615";"5";"3.008064516"
"PGP_VL0006";"12";"615";"2";"3.008064516"
"PGP_VL0006";"13";"615";"4";"3.008064516"
"PGP_VL0006";"14";"615";"7";"3.008064516"
"PGP_VL0006";"15";"615";"6";"3.008064516"
"PGP_VL0006";"16";"615";"7";"3.008064516"
"PGP_VL0006";"17";"615";"9";"3.008064516"
"PGP_VL0006";"18";"615";"12";"3.008064516"
"PGP_VL0006";"19";"615";"17";"3.008064516"
"PGP_VL0006";"20";"615";"13";"3.008064516"
"PGP_VL0006";"21";"615";"14";"3.008064516"
"PGP_VL0006";"22";"615";"10";"3.008064516"
"PGP_VL0006";"23";"615";"5";"3.008064516"
"PGP_VL0006";"24";"615";"2";"3.008064516"
"PGP_VL0006";"25";"615";"4";"3.008064516"
"PGP_VL0006";"26";"615";"7";"3.008064516"
"PGP_VL0006";"27";"615";"6";"3.008064516"
"PGP_VL0006";"28";"615";"7";"3.008064516"
"PGP_VL0006";"29";"615";"9";"3.008064516"
"PGP_VL0006";"30";"615";"12";"3.008064516"
"PGP_VL0006";"31";"615";"17";"3.008064516"
"PGP_VL0006";"32";"615";"13";"3.008064516"
"PGP_VL0006";"33";"615";"14";"3.008064516"
"PGP_VL0006";"34";"615";"10";"3.008064516"
"PGP_VL0006";"35";"615";"5";"3.008064516"
"PGP_VL0006";"36";"615";"2";"3.008064516"
"PGP_VL0006";"37";"602";"7";"3"
"PGP_VL0006";"38";"602";"8";"3"
"PGP_VL0006";"39";"602";"16";"3"
"PGP_VL0006";"40";"602";"16";"3"
"PGP_VL0006";"41";"602";"19";"3"
"PGP_VL0006";"42";"602";"23";"3"
"PGP_VL0006";"43";"602";"23";"3"
"PGP_VL0006";"44";"602";"13";"3"
"PGP_VL0006";"45";"602";"12";"3"
"PGP_VL0006";"46";"602";"5";"3"
"PGP_VL0006";"47";"602";"8";"3"
"PGP_VL0006";"48";"602";"5";"3"
"PGP_VL0006";"49";"592";"3";"3.001675042"
"PGP_VL0006";"50";"592";"5";"3.001675042"
"PGP_VL0006";"51";"592";"8";"3.001675042"
"PGP_VL0006";"52";"592";"9";"3.001675042"
"PGP_VL0006";"53";"592";"8";"3.001675042"
"PGP_VL0006";"54";"592";"12";"3.001675042"
"PGP_VL0006";"55";"592";"15";"3.001675042"
"PGP_VL0006";"56";"592";"15";"3.001675042"
"PGP_VL0006";"57";"592";"9";"3.001675042"
"PGP_VL0006";"58";"592";"6";"3.001675042"
"PGP_VL0006";"59";"592";"4";"3.001675042"
"PGP_VL0006";"60";"592";"6";"3.001675042"
"PGP_VL0006";"61";"576";"4";"3.00172117"
"PGP_VL0006";"62";"576";"6";"3.00172117"
"PGP_VL0006";"63";"576";"11";"3.00172117"
"PGP_VL0006";"64";"576";"11";"3.00172117"
"PGP_VL0006";"65";"576";"15";"3.00172117"
"PGP_VL0006";"66";"576";"17";"3.00172117"
"PGP_VL0006";"67";"576";"16";"3.00172117"
"PGP_VL0006";"68";"576";"18";"3.00172117"
"PGP_VL0006";"69";"576";"13";"3.00172117"
"PGP_VL0006";"70";"576";"9";"3.00172117"
"PGP_VL0006";"71";"576";"9";"3.00172117"
"PGP_VL0006";"72";"576";"8";"3.00172117"
"PGP_VL0006";"73";"554";"2";"3.001788909"
"PGP_VL0006";"74";"554";"5";"3.001788909"
"PGP_VL0006";"75";"554";"8";"3.001788909"
"PGP_VL0006";"76";"554";"7";"3.001788909"
"PGP_VL0006";"77";"554";"12";"3.001788909"
"PGP_VL0006";"78";"554";"15";"3.001788909"
